,raceId,driverCode,teamName,startingGridPosition,position,positionDiff,circuitName,raceName,year,AirTemp,Humidity,TrackTemp,WindSpeed,WasRainingDuringRaceAnyTime,lapTireChange
288,1006,VAN,McLaren,17,11,6,Circuit of the Americas,United States Grand Prix,2018,20.7,41.3,27.6,2.4,False,"10: SUPERSOFT->SOFT, 40: SOFT->SOFT"
289,1006,VER,Red Bull,18,2,16,Circuit of the Americas,United States Grand Prix,2018,20.7,41.3,27.6,2.4,False,22: SOFT->SUPERSOFT
290,1006,VET,Ferrari,5,4,1,Circuit of the Americas,United States Grand Prix,2018,20.7,41.3,27.6,2.4,False,26: SUPERSOFT->SOFT
291,1007,BOT,Mercedes,5,5,0,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2018,19.2,53.9,35.2,2.3,False,"11: ULTRASOFT->SUPERSOFT, 48: SUPERSOFT->ULTRASOFT, 62: ULTRASOFT->HYPERSOFT"
292,1007,ERI,Sauber,10,9,1,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2018,19.2,53.9,35.2,2.3,False,16: HYPERSOFT->SUPERSOFT
293,1007,GAS,Toro Rosso,20,10,10,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2018,19.2,53.9,35.2,2.3,False,"5: HYPERSOFT->SUPERSOFT, 26: SUPERSOFT->SUPERSOFT"
294,1007,GRO,Haas F1 Team,18,16,2,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2018,19.2,53.9,35.2,2.3,False,"44: SUPERSOFT->ULTRASOFT, 60: ULTRASOFT->HYPERSOFT"
295,1007,HAM,Mercedes,3,4,-1,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2018,19.2,53.9,35.2,2.3,False,"11: ULTRASOFT->SUPERSOFT, 47: SUPERSOFT->ULTRASOFT"
296,1007,HAR,Toro Rosso,14,14,0,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2018,19.2,53.9,35.2,2.3,False,"1: SUPERSOFT->ULTRASOFT, 24: ULTRASOFT->SUPERSOFT"
297,1007,HUL,Renault,7,6,1,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2018,19.2,53.9,35.2,2.3,False,12: HYPERSOFT->SUPERSOFT
298,1007,LEC,Sauber,9,7,2,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2018,19.2,53.9,35.2,2.3,False,13: HYPERSOFT->SUPERSOFT
299,1007,MAG,Haas F1 Team,16,15,1,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2018,19.2,53.9,35.2,2.3,False,43: SUPERSOFT->ULTRASOFT
300,1007,OCO,Force India,11,11,0,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2018,19.2,53.9,35.2,2.3,False,"1: SUPERSOFT->SUPERSOFT, 30: SUPERSOFT->ULTRASOFT"
301,1007,RAI,Ferrari,6,3,3,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2018,19.2,53.9,35.2,2.3,False,17: ULTRASOFT->SUPERSOFT
302,1007,SIR,Williams,19,13,6,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2018,19.2,53.9,35.2,2.3,False,11: ULTRASOFT->SUPERSOFT
303,1007,STR,Williams,17,12,5,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2018,19.2,53.9,35.2,2.3,False,"10: ULTRASOFT->ULTRASOFT, 23: ULTRASOFT->SUPERSOFT"
304,1007,VAN,McLaren,15,8,7,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2018,19.2,53.9,35.2,2.3,False,12: ULTRASOFT->SUPERSOFT
305,1007,VER,Red Bull,2,1,1,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2018,19.2,53.9,35.2,2.3,False,"13: ULTRASOFT->SUPERSOFT, 48: SUPERSOFT->SUPERSOFT"
306,1007,VET,Ferrari,4,2,2,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2018,19.2,53.9,35.2,2.3,False,"17: ULTRASOFT->SUPERSOFT, 47: SUPERSOFT->ULTRASOFT"
322,1010,ALB,Toro Rosso,13,14,-1,Albert Park Grand Prix Circuit,Australian Grand Prix,2019,23.2,72.2,42.9,0.9,False,14: SOFT->MEDIUM
323,1010,BOT,Mercedes,2,1,1,Albert Park Grand Prix Circuit,Australian Grand Prix,2019,23.2,72.2,42.9,0.9,False,23: SOFT->MEDIUM
324,1010,GAS,Red Bull,17,11,6,Albert Park Grand Prix Circuit,Australian Grand Prix,2019,23.2,72.2,42.9,0.9,False,37: MEDIUM->SOFT
325,1010,GIO,Alfa Romeo,14,15,-1,Albert Park Grand Prix Circuit,Australian Grand Prix,2019,23.2,72.2,42.9,0.9,False,27: MEDIUM->SOFT
326,1010,HAM,Mercedes,1,2,-1,Albert Park Grand Prix Circuit,Australian Grand Prix,2019,23.2,72.2,42.9,0.9,False,15: SOFT->MEDIUM
327,1010,HUL,Renault,11,7,4,Albert Park Grand Prix Circuit,Australian Grand Prix,2019,23.2,72.2,42.9,0.9,False,13: SOFT->HARD
328,1010,KUB,Williams,20,17,3,Albert Park Grand Prix Circuit,Australian Grand Prix,2019,23.2,72.2,42.9,0.9,False,"1: HARD->MEDIUM, 28: MEDIUM->SOFT, 44: SOFT->SOFT"
329,1010,KVY,Toro Rosso,15,10,5,Albert Park Grand Prix Circuit,Australian Grand Prix,2019,23.2,72.2,42.9,0.9,False,26: MEDIUM->HARD
330,1010,LEC,Ferrari,5,5,0,Albert Park Grand Prix Circuit,Australian Grand Prix,2019,23.2,72.2,42.9,0.9,False,28: SOFT->HARD
331,1010,MAG,Haas F1 Team,7,6,1,Albert Park Grand Prix Circuit,Australian Grand Prix,2019,23.2,72.2,42.9,0.9,False,14: SOFT->MEDIUM
332,1010,NOR,McLaren,8,12,-4,Albert Park Grand Prix Circuit,Australian Grand Prix,2019,23.2,72.2,42.9,0.9,False,15: SOFT->HARD
333,1010,PER,Racing Point,10,13,-3,Albert Park Grand Prix Circuit,Australian Grand Prix,2019,23.2,72.2,42.9,0.9,False,13: SOFT->HARD
334,1010,RAI,Alfa Romeo,9,8,1,Albert Park Grand Prix Circuit,Australian Grand Prix,2019,23.2,72.2,42.9,0.9,False,12: SOFT->MEDIUM
335,1010,RUS,Williams,19,16,3,Albert Park Grand Prix Circuit,Australian Grand Prix,2019,23.2,72.2,42.9,0.9,False,"26: MEDIUM->SOFT, 42: SOFT->HARD"
336,1010,STR,Racing Point,16,9,7,Albert Park Grand Prix Circuit,Australian Grand Prix,2019,23.2,72.2,42.9,0.9,False,27: MEDIUM->HARD
337,1010,VER,Red Bull,4,3,1,Albert Park Grand Prix Circuit,Australian Grand Prix,2019,23.2,72.2,42.9,0.9,False,25: SOFT->MEDIUM
338,1010,VET,Ferrari,3,4,-1,Albert Park Grand Prix Circuit,Australian Grand Prix,2019,23.2,72.2,42.9,0.9,False,14: SOFT->MEDIUM
339,1011,ALB,Toro Rosso,12,9,3,Bahrain International Circuit,Bahrain Grand Prix,2019,26.3,53.6,29.4,3.0,False,"9: SOFT->SOFT, 25: SOFT->MEDIUM"
340,1011,BOT,Mercedes,4,2,2,Bahrain International Circuit,Bahrain Grand Prix,2019,26.3,53.6,29.4,3.0,False,"12: SOFT->MEDIUM, 37: MEDIUM->MEDIUM"
341,1011,GAS,Red Bull,13,8,5,Bahrain International Circuit,Bahrain Grand Prix,2019,26.3,53.6,29.4,3.0,False,"9: SOFT->SOFT, 39: SOFT->MEDIUM"
342,1011,GIO,Alfa Romeo,16,11,5,Bahrain International Circuit,Bahrain Grand Prix,2019,26.3,53.6,29.4,3.0,False,"16: SOFT->MEDIUM, 40: MEDIUM->MEDIUM"
343,1011,HAM,Mercedes,3,1,2,Bahrain International Circuit,Bahrain Grand Prix,2019,26.3,53.6,29.4,3.0,False,"13: SOFT->SOFT, 34: SOFT->MEDIUM"
344,1011,KUB,Williams,20,16,4,Bahrain International Circuit,Bahrain Grand Prix,2019,26.3,53.6,29.4,3.0,False,"11: MEDIUM->SOFT, 27: SOFT->MEDIUM"
345,1011,KVY,Toro Rosso,15,12,3,Bahrain International Circuit,Bahrain Grand Prix,2019,26.3,53.6,29.4,3.0,False,"12: SOFT->MEDIUM, 38: MEDIUM->SOFT"
346,1011,LEC,Ferrari,1,3,-2,Bahrain International Circuit,Bahrain Grand Prix,2019,26.3,53.6,29.4,3.0,False,"13: SOFT->MEDIUM, 36: MEDIUM->MEDIUM"
347,1011,MAG,Haas F1 Team,6,13,-7,Bahrain International Circuit,Bahrain Grand Prix,2019,26.3,53.6,29.4,3.0,False,"10: SOFT->MEDIUM, 38: MEDIUM->SOFT"
348,1011,NOR,McLaren,9,6,3,Bahrain International Circuit,Bahrain Grand Prix,2019,26.3,53.6,29.4,3.0,False,"10: SOFT->MEDIUM, 34: MEDIUM->SOFT"
349,1011,PER,Racing Point,14,10,4,Bahrain International Circuit,Bahrain Grand Prix,2019,26.3,53.6,29.4,3.0,False,"8: SOFT->MEDIUM, 33: MEDIUM->MEDIUM"
350,1011,RAI,Alfa Romeo,8,7,1,Bahrain International Circuit,Bahrain Grand Prix,2019,26.3,53.6,29.4,3.0,False,"9: SOFT->MEDIUM, 33: MEDIUM->SOFT"
351,1011,RUS,Williams,19,15,4,Bahrain International Circuit,Bahrain Grand Prix,2019,26.3,53.6,29.4,3.0,False,"12: SOFT->MEDIUM, 26: MEDIUM->MEDIUM"
352,1011,STR,Racing Point,18,14,4,Bahrain International Circuit,Bahrain Grand Prix,2019,26.3,53.6,29.4,3.0,False,"1: SOFT->MEDIUM, 23: MEDIUM->MEDIUM"
353,1011,VER,Red Bull,5,4,1,Bahrain International Circuit,Bahrain Grand Prix,2019,26.3,53.6,29.4,3.0,False,"11: SOFT->MEDIUM, 32: MEDIUM->MEDIUM"
354,1011,VET,Ferrari,2,5,-3,Bahrain International Circuit,Bahrain Grand Prix,2019,26.3,53.6,29.4,3.0,False,"14: SOFT->MEDIUM, 35: MEDIUM->MEDIUM, 38: MEDIUM->SOFT"
355,1012,ALB,Toro Rosso,0,10,-10,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,19: SOFT->HARD
356,1012,BOT,Mercedes,1,2,-1,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,"21: MEDIUM->HARD, 36: HARD->MEDIUM"
357,1012,GAS,Red Bull,6,6,0,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,"19: SOFT->HARD, 39: HARD->MEDIUM, 53: MEDIUM->SOFT"
358,1012,GIO,Alfa Romeo,19,15,4,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,"7: SOFT->MEDIUM, 30: MEDIUM->MEDIUM"
359,1012,GRO,Haas F1 Team,10,11,-1,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,"8: SOFT->HARD, 35: HARD->MEDIUM"
360,1012,HAM,Mercedes,2,1,1,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,"22: MEDIUM->HARD, 36: HARD->MEDIUM"
361,1012,KUB,Williams,18,17,1,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,26: MEDIUM->HARD
362,1012,LEC,Ferrari,4,5,-1,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,"22: MEDIUM->HARD, 42: HARD->MEDIUM"
363,1012,MAG,Haas F1 Team,9,13,-4,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,"9: SOFT->HARD, 33: HARD->MEDIUM"
364,1012,NOR,McLaren,15,18,-3,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,"1: MEDIUM->HARD, 17: HARD->MEDIUM, 34: MEDIUM->SOFT"
365,1012,PER,Racing Point,12,8,4,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,20: MEDIUM->HARD
366,1012,RAI,Alfa Romeo,13,9,4,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,25: MEDIUM->HARD
367,1012,RIC,Renault,7,7,0,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,18: SOFT->HARD
368,1012,RUS,Williams,17,16,1,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,"22: MEDIUM->HARD, 49: HARD->SOFT"
369,1012,SAI,McLaren,14,14,0,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,"1: MEDIUM->HARD, 36: HARD->SOFT"
370,1012,STR,Racing Point,16,12,4,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,"20: MEDIUM->HARD, 44: HARD->SOFT"
371,1012,VER,Red Bull,5,4,1,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,"17: MEDIUM->HARD, 34: HARD->MEDIUM"
372,1012,VET,Ferrari,3,3,0,Shanghai International Circuit,Chinese Grand Prix,2019,19.5,43.9,30.6,2.1,False,"18: MEDIUM->HARD, 35: MEDIUM->MEDIUM"
373,1013,ALB,Toro Rosso,11,11,0,Baku City Circuit,Azerbaijan Grand Prix,2019,19.9,50.1,43.3,1.4,False,12: SOFT->MEDIUM
374,1013,BOT,Mercedes,1,1,0,Baku City Circuit,Azerbaijan Grand Prix,2019,19.9,50.1,43.3,1.4,False,12: SOFT->MEDIUM
375,1013,GIO,Alfa Romeo,17,12,5,Baku City Circuit,Azerbaijan Grand Prix,2019,19.9,50.1,43.3,1.4,False,7: SOFT->MEDIUM
376,1013,HAM,Mercedes,2,2,0,Baku City Circuit,Azerbaijan Grand Prix,2019,19.9,50.1,43.3,1.4,False,13: SOFT->MEDIUM
377,1013,HUL,Renault,15,14,1,Baku City Circuit,Azerbaijan Grand Prix,2019,19.9,50.1,43.3,1.4,False,"8: SOFT->MEDIUM, 34: MEDIUM->SOFT"
378,1013,KUB,Williams,0,16,-16,Baku City Circuit,Azerbaijan Grand Prix,2019,19.9,50.1,43.3,1.4,False,"14: MEDIUM->MEDIUM, 23: MEDIUM->MEDIUM, 42: MEDIUM->SOFT"
379,1013,LEC,Ferrari,8,5,3,Baku City Circuit,Azerbaijan Grand Prix,2019,19.9,50.1,43.3,1.4,False,"34: MEDIUM->SOFT, 47: SOFT->SOFT"
380,1013,MAG,Haas F1 Team,12,13,-1,Baku City Circuit,Azerbaijan Grand Prix,2019,19.9,50.1,43.3,1.4,False,"7: SOFT->MEDIUM, 39: MEDIUM->SOFT"
381,1013,NOR,McLaren,7,8,-1,Baku City Circuit,Azerbaijan Grand Prix,2019,19.9,50.1,43.3,1.4,False,"9: SOFT->MEDIUM, 39: MEDIUM->SOFT"
382,1013,PER,Racing Point,5,6,-1,Baku City Circuit,Azerbaijan Grand Prix,2019,19.9,50.1,43.3,1.4,False,10: SOFT->MEDIUM
383,1013,RAI,Alfa Romeo,0,10,-10,Baku City Circuit,Azerbaijan Grand Prix,2019,19.9,50.1,43.3,1.4,False,6: SOFT->MEDIUM
384,1013,RUS,Williams,16,15,1,Baku City Circuit,Azerbaijan Grand Prix,2019,19.9,50.1,43.3,1.4,False,"25: MEDIUM->MEDIUM, 38: MEDIUM->SOFT"
385,1013,SAI,McLaren,9,7,2,Baku City Circuit,Azerbaijan Grand Prix,2019,19.9,50.1,43.3,1.4,False,12: SOFT->MEDIUM
386,1013,STR,Racing Point,13,9,4,Baku City Circuit,Azerbaijan Grand Prix,2019,19.9,50.1,43.3,1.4,False,10: SOFT->MEDIUM
387,1013,VER,Red Bull,4,4,0,Baku City Circuit,Azerbaijan Grand Prix,2019,19.9,50.1,43.3,1.4,False,14: SOFT->MEDIUM
388,1013,VET,Ferrari,3,3,0,Baku City Circuit,Azerbaijan Grand Prix,2019,19.9,50.1,43.3,1.4,False,11: SOFT->MEDIUM
389,1014,ALB,Toro Rosso,11,11,0,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,"25: SOFT->MEDIUM, 45: MEDIUM->MEDIUM"
390,1014,BOT,Mercedes,1,2,-1,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,"26: SOFT->MEDIUM, 45: MEDIUM->SOFT"
391,1014,GAS,Red Bull,6,6,0,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,"22: SOFT->MEDIUM, 46: MEDIUM->SOFT"
392,1014,GIO,Alfa Romeo,18,16,2,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,"6: SOFT->HARD, 41: HARD->SOFT"
393,1014,GRO,Haas F1 Team,7,10,-3,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,"26: SOFT->MEDIUM, 46: MEDIUM->SOFT"
394,1014,HAM,Mercedes,2,1,1,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,"27: SOFT->MEDIUM, 46: MEDIUM->SOFT"
395,1014,HUL,Renault,0,13,-13,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,35: MEDIUM->SOFT
396,1014,KUB,Williams,17,18,-1,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,"31: MEDIUM->SOFT, 44: SOFT->MEDIUM"
397,1014,KVY,Toro Rosso,9,9,0,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,"21: SOFT->MEDIUM, 45: MEDIUM->MEDIUM"
398,1014,LEC,Ferrari,5,5,0,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,"25: SOFT->HARD, 46: HARD->MEDIUM"
399,1014,MAG,Haas F1 Team,8,7,1,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,"23: SOFT->MEDIUM, 45: MEDIUM->SOFT"
400,1014,PER,Racing Point,15,15,0,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,"24: SOFT->MEDIUM, 45: MEDIUM->SOFT"
401,1014,RAI,Alfa Romeo,14,14,0,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,"28: MEDIUM->HARD, 45: HARD->SOFT"
402,1014,RIC,Renault,13,12,1,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,"24: SOFT->HARD, 45: HARD->MEDIUM"
403,1014,RUS,Williams,19,17,2,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,"32: MEDIUM->SOFT, 44: SOFT->MEDIUM"
404,1014,SAI,McLaren,12,8,4,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,"24: SOFT->MEDIUM, 46: MEDIUM->SOFT"
405,1014,VER,Red Bull,4,3,1,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,"20: SOFT->SOFT, 43: SOFT->MEDIUM"
406,1014,VET,Ferrari,3,4,-1,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019,20.4,55.1,42.0,1.3,False,"19: SOFT->MEDIUM, 40: MEDIUM->MEDIUM"
426,1016,BOT,Mercedes,6,4,2,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,"30: MEDIUM->HARD, 67: HARD->SOFT"
427,1016,GAS,Red Bull,5,8,-3,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,7: SOFT->HARD
428,1016,GIO,Alfa Romeo,12,13,-1,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,33: HARD->MEDIUM
429,1016,GRO,Haas F1 Team,14,14,0,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,34: MEDIUM->HARD
430,1016,HAM,Mercedes,2,1,1,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,28: MEDIUM->HARD
431,1016,HUL,Renault,7,7,0,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,16: SOFT->HARD
432,1016,KUB,Williams,19,18,1,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,"8: MEDIUM->MEDIUM, 38: HARD->HARD"
433,1016,KVY,Toro Rosso,10,10,0,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,12: MEDIUM->HARD
434,1016,LEC,Ferrari,3,3,0,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,33: MEDIUM->HARD
435,1016,MAG,Haas F1 Team,0,17,-17,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,39: HARD->MEDIUM
436,1016,PER,Racing Point,15,12,3,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,11: MEDIUM->HARD
437,1016,RAI,Alfa Romeo,16,15,1,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,"6: MEDIUM->HARD, 58: HARD->SOFT"
438,1016,RIC,Renault,4,6,-2,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,8: SOFT->HARD
439,1016,RUS,Williams,18,16,2,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,9: MEDIUM->HARD
440,1016,SAI,McLaren,11,11,0,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,3: SOFT->SOFT
441,1016,STR,Racing Point,17,9,8,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,45: HARD->MEDIUM
442,1016,VER,Red Bull,9,5,4,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,48: HARD->MEDIUM
443,1016,VET,Ferrari,1,2,-1,Circuit Gilles Villeneuve,Canadian Grand Prix,2019,28.3,16.9,51.7,0.6,False,26: MEDIUM->HARD
444,1017,ALB,Toro Rosso,11,15,-4,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,25: MEDIUM->HARD
445,1017,BOT,Mercedes,2,2,0,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,23: MEDIUM->HARD
446,1017,GAS,Red Bull,9,10,-1,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,17: SOFT->HARD
447,1017,GIO,Alfa Romeo,10,16,-6,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,"7: SOFT->HARD, 34: HARD->MEDIUM"
448,1017,GRO,Haas F1 Team,16,20,-4,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,31: HARD->MEDIUM
449,1017,HAM,Mercedes,1,1,0,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,24: MEDIUM->HARD
450,1017,HUL,Renault,13,8,5,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,34: HARD->MEDIUM
451,1017,KUB,Williams,18,18,0,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,24: MEDIUM->HARD
452,1017,KVY,Toro Rosso,19,14,5,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,32: HARD->MEDIUM
453,1017,LEC,Ferrari,3,3,0,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,21: MEDIUM->HARD
454,1017,MAG,Haas F1 Team,15,17,-2,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,16: MEDIUM->HARD
455,1017,NOR,McLaren,5,9,-4,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,18: MEDIUM->HARD
456,1017,PER,Racing Point,14,12,2,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,18: MEDIUM->HARD
457,1017,RAI,Alfa Romeo,12,7,5,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,31: HARD->MEDIUM
458,1017,RIC,Renault,8,11,-3,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,16: MEDIUM->HARD
459,1017,RUS,Williams,20,19,1,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,"25: MEDIUM->HARD, 33: HARD->MEDIUM"
460,1017,SAI,McLaren,6,6,0,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,19: MEDIUM->HARD
461,1017,STR,Racing Point,17,13,4,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,39: HARD->MEDIUM
462,1017,VER,Red Bull,4,4,0,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,20: MEDIUM->HARD
463,1017,VET,Ferrari,7,5,2,Circuit Paul Ricard,French Grand Prix,2019,25.8,41.7,51.9,2.8,False,"25: MEDIUM->HARD, 51: HARD->SOFT"
464,1018,ALB,Toro Rosso,18,15,3,Red Bull Ring,Austrian Grand Prix,2019,33.3,21.2,51.4,1.8,False,35: MEDIUM->HARD
465,1018,BOT,Mercedes,3,3,0,Red Bull Ring,Austrian Grand Prix,2019,33.3,21.2,51.4,1.8,False,21: MEDIUM->HARD
466,1018,GAS,Red Bull,8,7,1,Red Bull Ring,Austrian Grand Prix,2019,33.3,21.2,51.4,1.8,False,25: SOFT->HARD
467,1018,GIO,Alfa Romeo,7,10,-3,Red Bull Ring,Austrian Grand Prix,2019,33.3,21.2,51.4,1.8,False,24: SOFT->HARD
468,1018,GRO,Haas F1 Team,11,16,-5,Red Bull Ring,Austrian Grand Prix,2019,33.3,21.2,51.4,1.8,False,34: MEDIUM->HARD
469,1018,HAM,Mercedes,4,5,-1,Red Bull Ring,Austrian Grand Prix,2019,33.3,21.2,51.4,1.8,False,30: MEDIUM->HARD
470,1018,HUL,Renault,15,13,2,Red Bull Ring,Austrian Grand Prix,2019,33.3,21.2,51.4,1.8,False,26: MEDIUM->HARD
471,1018,KUB,Williams,17,20,-3,Red Bull Ring,Austrian Grand Prix,2019,33.3,21.2,51.4,1.8,False,19: MEDIUM->HARD
472,1018,KVY,Toro Rosso,16,17,-1,Red Bull Ring,Austrian Grand Prix,2019,33.3,21.2,51.4,1.8,False,32: MEDIUM->HARD
473,1018,LEC,Ferrari,1,2,-1,Red Bull Ring,Austrian Grand Prix,2019,33.3,21.2,51.4,1.8,False,22: SOFT->HARD
474,1018,MAG,Haas F1 Team,10,19,-9,Red Bull Ring,Austrian Grand Prix,2019,33.3,21.2,51.4,1.8,False,"11: SOFT->HARD, 13: HARD->HARD, 62: HARD->SOFT"
475,1018,NOR,McLaren,5,6,-1,Red Bull Ring,Austrian Grand Prix,2019,33.3,21.2,51.4,1.8,False,25: SOFT->MEDIUM
476,1018,PER,Racing Point,13,11,2,Red Bull Ring,Austrian Grand Prix,2019,33.3,21.2,51.4,1.8,False,28: MEDIUM->HARD
477,1018,RAI,Alfa Romeo,6,9,-3,Red Bull Ring,Austrian Grand Prix,2019,33.3,21.2,51.4,1.8,False,23: SOFT->HARD
