,raceId,driverCode,teamName,startingGridPosition,position,positionDiff,circuitName,raceName,year,AirTemp,Humidity,TrackTemp,WindSpeed,WasRainingDuringRaceAnyTime,lapTireChange
58,992,MAG,Haas F1 Team,15,13,2,Baku City Circuit,Azerbaijan Grand Prix,2018,17.2,46.1,27.1,2.1,False,"1: nan->SOFT, 39: SOFT->ULTRASOFT"
59,992,PER,Force India,8,3,5,Baku City Circuit,Azerbaijan Grand Prix,2018,17.2,46.1,27.1,2.1,False,"2: ULTRASOFT->SOFT, 40: SOFT->SUPERSOFT"
60,992,RAI,Ferrari,6,2,4,Baku City Circuit,Azerbaijan Grand Prix,2018,17.2,46.1,27.1,2.1,False,"1: nan->SOFT, 40: SOFT->ULTRASOFT"
61,992,SAI,Renault,9,5,4,Baku City Circuit,Azerbaijan Grand Prix,2018,17.2,46.1,27.1,2.1,False,"15: ULTRASOFT->SOFT, 40: SOFT->ULTRASOFT"
62,992,STR,Williams,10,8,2,Baku City Circuit,Azerbaijan Grand Prix,2018,17.2,46.1,27.1,2.1,False,"23: SUPERSOFT->SOFT, 40: SOFT->ULTRASOFT"
63,992,VAN,McLaren,16,9,7,Baku City Circuit,Azerbaijan Grand Prix,2018,17.2,46.1,27.1,2.1,False,"17: SUPERSOFT->SOFT, 25: SOFT->ULTRASOFT, 39: ULTRASOFT->ULTRASOFT, 46: ULTRASOFT->ULTRASOFT"
64,992,VET,Ferrari,1,4,-3,Baku City Circuit,Azerbaijan Grand Prix,2018,17.2,46.1,27.1,2.1,False,"30: SUPERSOFT->SOFT, 40: SOFT->ULTRASOFT"
96,995,BOT,Mercedes,2,2,0,Circuit Gilles Villeneuve,Canadian Grand Prix,2018,20.5,28.3,41.5,2.2,False,36: ULTRASOFT->SUPERSOFT
97,995,ERI,Sauber,19,15,4,Circuit Gilles Villeneuve,Canadian Grand Prix,2018,20.5,28.3,41.5,2.2,False,1: nan->SUPERSOFT
98,995,GAS,Toro Rosso,16,11,5,Circuit Gilles Villeneuve,Canadian Grand Prix,2018,20.5,28.3,41.5,2.2,False,23: HYPERSOFT->SUPERSOFT
99,995,GRO,Haas F1 Team,20,12,8,Circuit Gilles Villeneuve,Canadian Grand Prix,2018,20.5,28.3,41.5,2.2,False,48: ULTRASOFT->SUPERSOFT
100,995,HAM,Mercedes,4,5,-1,Circuit Gilles Villeneuve,Canadian Grand Prix,2018,20.5,28.3,41.5,2.2,False,16: ULTRASOFT->SUPERSOFT
101,995,HUL,Renault,7,7,0,Circuit Gilles Villeneuve,Canadian Grand Prix,2018,20.5,28.3,41.5,2.2,False,13: HYPERSOFT->SUPERSOFT
102,995,LEC,Sauber,13,10,3,Circuit Gilles Villeneuve,Canadian Grand Prix,2018,20.5,28.3,41.5,2.2,False,19: ULTRASOFT->SUPERSOFT
103,995,MAG,Haas F1 Team,11,13,-2,Circuit Gilles Villeneuve,Canadian Grand Prix,2018,20.5,28.3,41.5,2.2,False,22: ULTRASOFT->SUPERSOFT
104,995,OCO,Force India,8,9,-1,Circuit Gilles Villeneuve,Canadian Grand Prix,2018,20.5,28.3,41.5,2.2,False,11: HYPERSOFT->SUPERSOFT
105,995,PER,Force India,10,14,-4,Circuit Gilles Villeneuve,Canadian Grand Prix,2018,20.5,28.3,41.5,2.2,False,"9: HYPERSOFT->SUPERSOFT, 44: SUPERSOFT->SUPERSOFT"
106,995,RAI,Ferrari,5,6,-1,Circuit Gilles Villeneuve,Canadian Grand Prix,2018,20.5,28.3,41.5,2.2,False,32: ULTRASOFT->SUPERSOFT
107,995,RIC,Red Bull,6,4,2,Circuit Gilles Villeneuve,Canadian Grand Prix,2018,20.5,28.3,41.5,2.2,False,17: HYPERSOFT->SUPERSOFT
108,995,SAI,Renault,9,8,1,Circuit Gilles Villeneuve,Canadian Grand Prix,2018,20.5,28.3,41.5,2.2,False,14: HYPERSOFT->SUPERSOFT
109,995,SIR,Williams,18,17,1,Circuit Gilles Villeneuve,Canadian Grand Prix,2018,20.5,28.3,41.5,2.2,False,26: SUPERSOFT->ULTRASOFT
110,995,VAN,McLaren,15,16,-1,Circuit Gilles Villeneuve,Canadian Grand Prix,2018,20.5,28.3,41.5,2.2,False,"1: nan->SUPERSOFT, 48: SUPERSOFT->HYPERSOFT"
