,raceId,driverId,grid,position,constructorId,lap,code,year,name_x,circuitId,AirTemp,Humidity,TrackTemp,WindSpeed,WasRainingDuringRaceAnyTime,diff,name_y,circuitRef,name
89,900,4,5,4,6,12,ALO,2014,Australian Grand Prix,1,,,,,,1,Ferrari,albert_park,Albert Park Grand Prix Circuit
90,900,4,5,4,6,35,ALO,2014,Australian Grand Prix,1,,,,,,1,Ferrari,albert_park,Albert Park Grand Prix Circuit
91,900,8,11,7,6,12,RAI,2014,Australian Grand Prix,1,,,,,,4,Ferrari,albert_park,Albert Park Grand Prix Circuit
92,900,8,11,7,6,36,RAI,2014,Australian Grand Prix,1,,,,,,4,Ferrari,albert_park,Albert Park Grand Prix Circuit
93,841,67,10,8,5,15,BUE,2011,Australian Grand Prix,1,,,,,,2,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
94,841,67,10,8,5,29,BUE,2011,Australian Grand Prix,1,,,,,,2,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
95,841,153,12,11,5,1,ALG,2011,Australian Grand Prix,1,,,,,,1,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
96,841,153,12,11,5,17,ALG,2011,Australian Grand Prix,1,,,,,,1,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
97,841,153,12,11,5,35,ALG,2011,Australian Grand Prix,1,,,,,,1,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
98,860,817,10,9,5,1,RIC,2012,Australian Grand Prix,1,,,,,,1,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
99,860,817,10,9,5,22,RIC,2012,Australian Grand Prix,1,,,,,,1,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
100,860,817,10,9,5,38,RIC,2012,Australian Grand Prix,1,,,,,,1,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
101,860,818,11,11,5,19,VER,2012,Australian Grand Prix,1,,,,,,0,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
102,860,818,11,11,5,37,VER,2012,Australian Grand Prix,1,,,,,,0,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
103,880,818,13,12,5,9,VER,2013,Australian Grand Prix,1,,,,,,1,Toro Rosso,albert_park,Albert Park Grand Prix Circuit
